ID,basionymID,scientificName,authorship,rank,uninomial,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,status,referenceID,publishedInYear,publishedInPage,remarks
1,1,Hepialidae,"Stephens, [1828]",family,Hepialidae,,,,,established,1436,1828,,
2,2,Epialidae,"Burmeister, 1878",family,Epialidae,,,,,established,153,1878,292,
3,3,Epialoidae,"Agassiz, 1847",family,Epialoidae,,,,,not established,7,1847,140,Misspelling
4,4,Hepiolidae,"Nordström, 1947",family,Hepiolidae,,,,,not established,1118,1947,13,Misspelling
5,5,Abantiades,"Herrich-Schäffer, [1855]",genus,Abantiades,,,,,established,687,1855,85,
6,6,Pielus,"Walker, 1856",genus,Pielus,,,,,established,1645,1856,"1549, 1576",
7,7,Rhizopsyche,"Scott, 1864",genus,Rhizopsyche,,,,,established,1356,1864,"4, 11",
8,8,Trictena,"Meyrick, 1890",genus,Trictena,,,,,established,1020,1890,1135,
9,9,Tristena,"Pagenstecher, 1909",genus,Tristena,,,,,not established,1161,1909,448,Misspelling
10,10,Bordaia,"Tindale, 1932",genus,Bordaia,,,,,established,1505,1932,507,
11,12,Abantiades albofasciatus,"(Swinhoe, 1892)",species,,Abantiades,,albofasciatus,,established,1474,1892,289,
12,12,Pielus albofasciatus,"Swinhoe, 1892",species,,Pielus,,albofasciatus,,established,1474,1892,289,
13,13,Abantiades antenniochrus,"Moore, 2014",species,,Abantiades,,antenniochrus,,established,1071,2014,224,
14,15,Abantiades aphenges,"(A. Turner, 1904)",species,,Abantiades,,aphenges,,established,1536,1904,247,
15,15,Pielus aphenges,"A. Turner, 1904",species,,Pielus,,aphenges,,established,1536,1904,247,
16,16,Abantiades argentangulum,"Moore & Edwards, 2014",species,,Abantiades,,argentangulum,,established,1076,2014,34,
17,18,Abantiades argentata,"(Tindale, 1932)",species,,Abantiades,,argentata,,established,1505,1932,500,
18,18,Trictena argentata,"Tindale, 1932",species,,Trictena,,argentata,,established,1505,1932,500,
19,20,Abantiades argyrosticha,"(A. Turner, 1929)",species,,Abantiades,,argyrosticha,,established,1542,1929,307,
20,20,Trictena argyrosticha,"A. Turner, 1929",species,,Trictena,,argyrosticha,,established,1542,1929,307,
21,22,Abantiades atripalpis,"(Walker, 1856)",species,,Abantiades,,atripalpis,,established,1645,1856,1577,
22,22,Pielus atripalpis,"Walker, 1856",species,,Pielus,,atripalpis,,established,1645,1856,1577,
23,23,Abantiades aurilegulus,"Tindale, 1932",species,,Abantiades,,aurilegulus,,established,1505,1932,520,
24,25,Abantiades barcas,"(Pfitzner, 1914)",species,,Abantiades,,barcas,,established,1196,1914,96,
25,25,Pielus barcas,"Pfitzner, 1914",species,,Pielus,,barcas,,established,1196,1914,96,
26,27,Abantiades barnardi,"(Tindale, 1941)",species,,Abantiades,,barnardi,,established,1508,1941,43,
27,27,Trictena barnardi,"Tindale, 1941",species,,Trictena,,barnardi,,established,1508,1941,43,
28,28,Abantiades centralia,"Moore & Beaver, 2020",species,,Abantiades,,centralia,,established,1073,2020,130,
29,29,Abantiades cephalocorvus,"Moore & Beaver, 2020",species,,Abantiades,,cephalocorvus,,established,1074,2020,73,
30,30,Abantiades concordia,"Moore & Beaver, 2022",species,,Abantiades,,concordia,,established,1072,2022,214,
31,31,Abantiades equipalpus,"Moore, 2014",species,,Abantiades,,equipalpus,,established,1071,2014,217,
32,32,Abantiades fulvomarginatus,"Tindale, 1932",species,,Abantiades,,fulvomarginatus,,established,1505,1932,534,
33,34,Abantiades furva,"(Tindale, 1932)",species,,Abantiades,,furva,,established,1505,1932,508,
34,34,Bordaia furva,"Tindale, 1932",species,,Bordaia,,furva,,established,1505,1932,508,
35,35,Abantiades horakae,"Simonsen, 2018",species,,Abantiades,,horakae,,established,1383,2018,87,
36,36,Abantiades hutchinsoni,"Moore & Beaver, 2020",species,,Abantiades,,hutchinsoni,,established,1073,2020,128,
37,38,Abantiades hyalinatus,"(Herrich-Schäffer, [1853])",species,,Abantiades,,hyalinatus,,established,688,1853,"5, pl. [11], fig. 50",
38,38,Epiolus hyalinatus,"Herrich-Schäffer, [1853]",species,,Epiolus,,hyalinatus,,established,688,1853,"5, pl. [11], fig. 50",
39,39,Abantiades diaphanus,"Herrich-Schäffer, [1855]",species,,Abantiades,,diaphanus,,established,688,[1855],5,
40,40,Charagia ingens,"Walker, 1865",species,,Charagia,,ingens,,established,1646,1865,596,
41,41,Pielus erythrinus,"Walker, 1865",species,,Pielus,,erythrinus,,established,1646,1865,599,
42,42,Pielus imperialis,"Olliff & Prince, 1888",species,,Pielus,,imperialis,,established,1137,1888,1015,
43,43,Abantiades hyalinatus f. brunneus,"Tindale, 1932",form,,Abantiades,,hyalinatus,brunneus,established,1505,1932,518,
44,44,Abantiades diaphanous,"Simonsen, 2018",species,,Abantiades,,diaphanous,,not established,1383,2018,69,Misspelling
45,46,Abantiades hydrographus,"(C. & R. Felder, 1874)",species,,Abantiades,,hydrographus,,established,412,1874,"pl. LXXX, fig. 3",
46,46,Pielus hydrographus,"C. & R. Felder, 1874",species,,Pielus,,hydrographus,,established,412,1874,"pl. LXXX, fig. 3",
