ID,basionymID,scientificName,authorship,rank,uninomial,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,status,referenceID,publishedInPage,remarks
1,1,Sesiidae,"Boisduval, 1828",family,Sesiidae,,,,,,Boisduval_1828,29,
2,2,Sesiariae,"Boisduval, 1828",family,Sesiariae,,,,,,Boisduval_1828,29,
3,3,Aegeriidae,"Stephens, 1828",family,Aegeriidae,,,,,,Stephens_1828,136,
4,4,Trochiliidae,"Westwood, 1843",family,Trochiliidae,,,,,,Westwood_1843,32,
5,5,Tinthiinae,"Le Cerf, 1917",subfamily,Tinthiinae,,,,,,Le_Cerf_1917,148,
6,6,Zenodoxinae,"MacKay, 1968",subfamily,Zenodoxinae,,,,,,MacKay_1968a,11,
7,7,Tinthiini,"Le Cerf, 1917",tribe,Tinthiini,,,,,,Le_Cerf_1917,148,
8,8,Zenodoxini,"MacKay, 1968",tribe,Zenodoxini,,,,,,MacKay_1968a,11,
9,9,Microsphecia,"Bartel, 1912",genus,Microsphecia,,,,,,Bartel_1912,414,
10,11,Microsphecia brosiformis,"(Hübner, [1813])",species,,Microsphecia,,brosiformis,,,Hübner_1796_1825,fig. 116,
11,11,Sphinx brosiformis,"Hübner, [1813]",species,,Sphinx,,brosiformis,,,Hübner_1796_1825,fig. 116,
12,12,Zenodoxus dorsalis,"Le Cerf, 1914",species,,Zenodoxus,,dorsalis,,,Le_Cerf_1914b,272,
13,12,Microsphecia dorsalis,"(Le Cerf, 1914)",species,,Microsphecia,,dorsalis,,,Le_Cerf_1914b,272,
14,14,Zenodoxus obscura,"Le Cerf, 1914",species,,Zenodoxus,,obscura,,,Le_Cerf_1914b,274,
15,14,Microsphecia brosiformis f. obscura,"(Le Cerf, 1914)",form,,Microsphecia,,brosiformis,obscura,,Le_Cerf_1914b,274,
16,17,Microsphecia tineiformis,"(Esper, [1789])",species,,Microsphecia,,tineiformis,,,Esper_1789_1804,9,
17,17,Sphinx tineiformis,"Esper, [1789]",species,,Sphinx,,tineiformis,,,Esper_1789_1804,9,
18,18,Sesia aselliformis,"Rossi, 1794",species,,Sesia,,aselliformis,,,Rossi_1794,16,
19,18,Microsphecia aselliformis,"(Rossi, 1794)",species,,Microsphecia,,aselliformis,,,Rossi_1794,16,
20,20,Tinthia,"Walker, [1865]",genus,Tinthia,,,,,,Walker_1865,23,
21,21,Soronia,"Moore, 1877",genus,Soronia,,,,,,Moore_1877,83,preoccupied by Erichson 1843 (Coleoptera)
22,22,Tinthia beijingana,"Yang, 1977",species,,Tinthia,,beijingana,,,Yang_1977,120,
23,23,Tinthia mianjangalica,"Laštuvka, 1997",species,,Tinthia,,mianjangalica,,,Laštuvka_1997,297,
24,25,Tinthia cuprealis,"(Moore, 1877)",species,,Tinthia,,cuprealis,,,Moore_1877,84,
25,25,Soronia cuprealis,"Moore, 1877",species,,Soronia,,cuprealis,,,Moore_1877,84,
26,27,Tinthia brachythyra,"(Hampson, 1919)",species,,Tinthia,,brachythyra,,,Hampson_1919,118,transferred to Tinthia by Kallies (2020)
27,27,Trichocerota brachythyra,"Hampson, 1919",species,,Trichocerota,,brachythyra,,,Hampson_1919,118,transferred to Tinthia by Kallies (2020)
28,29,Tinthia cupreipennis,"(Walker, [1865])",species,,Tinthia,,cupreipennis,,,Walker_1865,11,transferred to Tinthia by Kallies (2020)
29,29,Aegeria cupreipennis,"Walker, [1865]",species,,Aegeria,,cupreipennis,,,Walker_1865,11,transferred to Tinthia by Kallies (2020)
30,30,Tinthia varipes,"Walker, [1865]",species,,Tinthia,,varipes,,,Walker_1865,24,
31,32,Tinthia ruficollaris,"(Pagenstecher, 1900)",species,,Tinthia,,ruficollaris,,,Pagenstecher_1900,21,
32,32,Paranthrene ruficollaris,"Pagenstecher, 1900",species,,Paranthrene,,ruficollaris,,,Pagenstecher_1900,21,
33,33,Tinthia xanthospila,"Hampson, 1919",species,,Tinthia,,xanthospila,,,Hampson_1919,115,
34,34,Sophona,"Walker, 1856",genus,Sophona,,,,,,Walker_1856,60,
35,35,Myrmecosphecia,"Le Cerf, 1917",genus,Myrmecosphecia,,,,,,Le_Cerf_1917,374,
36,36,Bombosceles,"Meyrick, 1930",genus,Bombosceles,,,,,,Meyrick_1930a,260,
37,37,Ficivora,"Clarke, 1962",genus,Ficivora,,,,,,Clarke_1962,383,
38,38,Sophona greenfieldi,"Eichlin, 1986",species,,Sophona,,greenfieldi,,,Eichlin_1986,347,
39,39,Sophona snellingi,"Eichlin, 1986",species,,Sophona,,snellingi,,,Eichlin_1986,349,
40,40,Sophona albibasilaris,"Eichlin, 1986",species,,Sophona,,albibasilaris,,,Eichlin_1986,345,
41,41,Sophona canzona,"Eichlin, 1986",species,,Sophona,,canzona,,,Eichlin_1986,337,
42,43,Sophona ceropaliformis,"(Walker, 1856)",species,,Sophona,,ceropaliformis,,,Walker_1856,52,
43,43,Aegeria ceropaliformis,"Walker, 1856",species,,Aegeria,,ceropaliformis,,,Walker_1856,52,
44,45,Sophona cyanomyia,"(Meyrick, 1930)",species,,Sophona,,cyanomyia,,,Meyrick_1930a,260,
45,45,Bombosceles cyanomyia,"Meyrick, 1930",species,,Bombosceles,,cyanomyia,,,Meyrick_1930a,260,
46,46,Sophona ezodda,"Eichlin, 1986",species,,Sophona,,ezodda,,,Eichlin_1986,338,
47,47,Sophona flavizonata,"Zukowsky, 1937",species,,Sophona,,flavizonata,,,Zukowsky_1936_1937,1259,
48,48,Sophona fusca,"Eichlin, 1986",species,,Sophona,,fusca,,,Eichlin_1986,346,
49,49,Sophona galba,"Eichlin, 1986",species,,Sophona,,galba,,,Eichlin_1986,341,
50,50,Sophona gilvifasciatus,"Eichlin, 1986",species,,Sophona,,gilvifasciatus,,,Eichlin_1986,337,
51,51,Sophona halictipennis,"Walker, 1856",species,,Sophona,,halictipennis,,,Walker_1856,60,
52,52,Sophona hoffmanni,"Eichlin, 1986",species,,Sophona,,hoffmanni,,,Eichlin_1986,342,
53,53,Sophona hondurasensis,"Eichlin, 1986",species,,Sophona,,hondurasensis,,,Eichlin_1986,348,
54,55,Sophona lemoulti,"(Le Cerf, 1917)",species,,Sophona,,lemoulti,,,Le_Cerf_1917,375,
55,55,Myrmecosphecia lemoulti,"Le Cerf, 1917",species,,Myrmecosphecia,,lemoulti,,,Le_Cerf_1917,375,
56,57,Sophona leucoteles,"(Clarke, 1962)",species,,Sophona,,leucoteles,,,Clarke_1962,387,
57,57,Ficivora leucoteles,"Clarke, 1962",species,,Ficivora,,leucoteles,,,Clarke_1962,387,
58,58,Sophona ludtkei,"Eichlin, 1986",species,,Sophona,,ludtkei,,,Eichlin_1986,348,
59,60,Sophona manoba,"(Druce, 1889)",species,,Sophona,,manoba,,,Druce_1889,82,
60,60,Sincara manoba,"Druce, 1889",species,,Sincara,,manoba,,,Druce_1889,82,
61,61,Sophona panzona,"Eichlin, 1986",species,,Sophona,,panzona,,,Eichlin_1986,339,
62,62,Sophona pedipennula,"Kallies & Riefenstahl, 1999",species,,Sophona,,pedipennula,,,Kallies_Riefenstahl_1999,32,
63,63,Sophona piperi,"Kallies & Riefenstahl, 1999",species,,Sophona,,piperi,,,Kallies_Riefenstahl_1999,33,
